id,host_days,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,city,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
2621242,1016,N/A,,,0,1,1,Jamaica Plain,Boston,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,1,1,2,10,2,97,10,10,9,9,10,10,0,moderate,0.22
950046,1412,within an hour,100%,100%,0,1,1,Jamaica Plain,Jamaica Plain,Apartment,Entire home/apt,6,2,3,3,Real Bed,250,1,1,1,0,4,90,9,10,9,10,10,10,0,strict,0.16
3342094,1754,within a few hours,100%,100%,1,2,1,Jamaica Plain,Jamaica Plain (Boston),Apartment,Entire home/apt,6,1,2,2,Real Bed,150,1,1,2,35,2,97,10,10,10,10,10,9,0,strict,0.54
5652147,2175,within a few hours,100%,33%,0,1,1,Jamaica Plain,Boston,House,Entire home/apt,7,2,3,4,Real Bed,300,1,1,2,50,2,93,9,9,9,9,9,9,0,flexible,0.18
14105971,194,within a few hours,100%,100%,0,1,0,Jamaica Plain,Boston,Apartment,Entire home/apt,2,1,0,1,Real Bed,119,0,1,1,0,1,100,10,10,10,10,10,10,0,strict,8.67
2875267,983,within a few hours,100%,100%,1,2,1,Jamaica Plain,Boston,Apartment,Entire home/apt,2,1,0,1,Real Bed,175,1,1,2,0,2,99,10,10,10,10,10,10,0,moderate,5.77
9485607,1847,within an hour,100%,100%,1,1,1,Jamaica Plain,Boston,House,Entire home/apt,6,2,2,2,Real Bed,195,1,1,3,25,4,96,10,10,10,10,10,10,1,strict,2.81
7273770,1504,within a few hours,100%,100%,0,1,1,Jamaica Plain,Boston,Condominium,Entire home/apt,4,1,2,2,Real Bed,145,1,1,1,0,2,90,10,9,10,10,10,9,0,strict,1.11
5405928,1934,within a day,100%,58%,0,1,1,Jamaica Plain,Boston,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,0,1,1,0,2,92,10,9,10,10,10,9,0,moderate,0.6
4586681,1034,within a day,100%,83%,0,1,1,Jamaica Plain,Boston,House,Private room,1,1,1,1,Futon,90,1,0,1,0,1,99,10,10,10,10,10,10,0,flexible,2.45
1113272,1559,within a few hours,100%,89%,0,1,1,Jamaica Plain,Boston,Apartment,Entire home/apt,4,1,2,2,Real Bed,210,0,1,4,50,2,94,10,10,10,10,9,9,0,moderate,1.25
12647606,2601,within a few hours,90%,100%,0,1,0,Jamaica Plain,Jamaica Plain,Apartment,Private room,2,1,1,1,Real Bed,75,0,1,1,15,2,100,10,10,10,10,10,10,0,moderate,1.94
10271867,372,within an hour,100%,67%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,46,0,1,1,0,1,90,10,8,10,10,9,9,0,flexible,0.4
7879708,1262,within a day,96%,78%,0,1,1,Jamaica Plain,Boston,Condominium,Private room,2,1,1,1,Real Bed,75,0,0,1,0,2,100,10,10,10,10,10,10,0,flexible,1.08
3881993,1077,within an hour,100%,78%,0,8,1,Jamaica Plain,Boston,Apartment,Entire home/apt,6,1,3,3,Real Bed,500,1,1,6,0,1,89,9,8,9,9,9,8,1,flexible,0.33
12566065,256,a few days or more,40%,83%,0,1,0,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,60,0,0,1,0,2,90,10,9,10,10,8,10,0,strict,1.97
6602217,756,within an hour,100%,100%,0,3,1,Jamaica Plain,Boston,Apartment,Entire home/apt,5,1,1,2,Real Bed,130,1,1,1,0,2,90,9,9,10,10,9,9,1,moderate,4.25
3276286,957,within a few hours,100%,81%,0,2,1,Jamaica Plain,Boston,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,190,1,1,4,20,2,88,9,9,10,10,9,9,0,moderate,1.53
2014651,1721,within a few hours,100%,100%,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,100,0,0,1,0,2,91,9,9,10,10,9,9,0,moderate,0.72
6053700,628,a few days or more,0%,100%,0,1,0,Jamaica Plain,Jamaica Plain,House,Entire home/apt,6,3,3,6,Real Bed,450,0,1,1,0,1,100,10,10,10,10,10,10,0,flexible,0.13
4405982,832,within an hour,100%,93%,1,2,1,Jamaica Plain,Boston,Apartment,Entire home/apt,8,2,4,4,Real Bed,399,1,1,4,0,2,99,10,10,10,10,10,10,0,strict,0.8
250983,2876,within an hour,94%,95%,1,5,1,Jamaica Plain,Boston,Apartment,Entire home/apt,5,1,2,2,Real Bed,350,1,1,4,25,1,98,10,9,10,10,9,9,0,moderate,0.24
2308630,1390,within a few hours,100%,25%,0,1,1,Jamaica Plain,Boston,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,1,0,2,10,2,98,10,10,10,10,10,10,0,moderate,1.09
8272350,544,N/A,,,0,1,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,99,1,1,1,0,2,100,10,10,10,10,10,10,0,moderate,0.18
12368012,265,within an hour,100%,100%,0,1,0,Jamaica Plain,Boston,House,Entire home/apt,6,2,3,4,Real Bed,295,0,0,1,0,3,,,,,,,,0,flexible,
4098410,1077,within an hour,100%,78%,0,8,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,107,1,1,2,30,2,81,9,8,9,9,8,8,0,flexible,0.84
6322283,875,within a day,80%,90%,0,2,1,Jamaica Plain,Boston,Apartment,Private room,1,1,1,1,Real Bed,69,0,1,1,0,1,96,10,10,10,10,10,10,0,moderate,1.16
7823025,1457,within an hour,100%,100%,0,5,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,1,Real Bed,76,0,1,1,15,1,92,10,9,10,10,10,9,1,strict,4.68
9549850,409,within a few hours,100%,100%,1,2,1,Jamaica Plain,Boston,Apartment,Entire home/apt,2,1,1,1,Real Bed,75,0,1,1,25,2,95,10,9,10,10,10,10,0,moderate,6.15
7845607,541,within a day,90%,88%,0,1,1,Jamaica Plain,Boston,House,Private room,1,1,1,1,Real Bed,55,0,1,1,25,1,78,9,6,9,9,9,8,0,flexible,0.74
14071446,891,within an hour,100%,100%,0,2,1,Jamaica Plain,Boston,Apartment,Private room,2,1,1,2,Real Bed,65,0,0,1,0,1,100,10,10,10,10,10,10,0,flexible,1.25
